DateTime,Ethylene,Ethane,Hydrogen
2020/01/01 00:00,2.106769468,1.003401256,1.982216977
2020/01/01 06:00,2.131540904,1.013929486,2.060710012
2020/01/02 00:00,2.185135078,0.900772132,2.089783814
2020/01/02 06:00,2.121437851,0.996612314,1.949841967
2020/01/03 00:00,1.870060192,0.908472049,2.133315741
2020/01/03 06:00,2.162483792,1.017292333,1.981289862
2020/01/04 00:00,1.874144316,1.016528818,1.869917964
2020/01/04 06:00,1.930813671,0.987594037,2.057931188
2020/01/05 00:00,2.12724289,0.923263342,1.942614287
2020/01/05 06:00,2.166490061,1.09140564,2.103809748
2020/01/06 00:00,2.171592849,0.938031976,2.082197957
2020/01/06 06:00,1.804783711,1.009065835,2.174490206
2020/01/07 00:00,1.957542321,0.968165676,2.0137447
2020/01/07 06:00,2.090437725,0.959660933,1.981954587
2020/01/08 00:00,1.826464608,1.032311353,1.970649718
2020/01/08 06:00,2.0636046,0.929639599,1.981938883
2020/01/09 00:00,1.939313926,1.021765505,1.83542421
2020/01/09 06:00,1.812793332,1.014771253,2.025132329
2020/01/10 00:00,2.154109894,0.94432342,1.807169447
2020/01/10 06:00,2.046941449,1.072374428,2.04317426
2020/01/11 00:00,2.123098553,1.039538123,2.153854047
2020/01/11 06:00,2.164622176,0.924480721,1.844844328
2020/01/12 00:00,2.029604398,1.096570384,2.008174739
2020/01/12 06:00,1.812750071,0.93871181,2.080720078
2020/01/13 00:00,2.040306101,1.054645559,1.832314174
2020/01/13 06:00,1.825082427,1.086792417,1.870012827
2020/01/14 00:00,2.071117783,0.923618539,1.946087723
